title,author,url
Boy Scout Handbook 11th Edition,Boy Scouts of America,https://archive.org/details/boyscouthandbook11boys
400 Drawings in the Mail,Alec Macdonald,
Airplane Flying Handbook,Federal Aviation Administration,https://www.amazon.com/Airplane-Handbook-FAA-H-8083-3A-Department-Transportation/dp/1490419071
Compassion and the Individual,Dalai Lama XIV,https://www.amazon.com/Compassion-Individual-Dalai-Lama-XIV/dp/9380359578 
Air Scout Manual,Boy Scouts of America,https://www.amazon.com/Air-Scout-Manual/dp/B00367IYNE
